symbol
AKS
AMRN
AUY
BTU
CJES
CZR
EPE
FET
HK
LINE
LNCO
SN
DRYS
PWE
HMY
SID
BTG
PGH
CMLS
PACD
PLUG
NGD
BBEP
PPP
IDRA
TC
ZQK
SD
IO
VRNG
KEG
MUX
XCO
NADL
XOMA
YGE
MHR
PVA
SFXE
